,,,,Assembly Statisitcs of Stacks Per Individual (ustacks),,,After Genotype Calling with gstacks,,
Sample,No. Reads,In Catalog (for Genotyping),POP,Average Coverage,Standard Deviation,No. of Reads Used,Number of loci,Mean Coverage,Mean Coverage ns
ETB_f_203,2180678,y,ETB,36.2,113.04, 1014987(46.5%),24552,31.035,32.022
ETB_m_189,3911583,y,ETB,37.79,122.08, 2002976(51.2%),46667,33.725,43.859
ETB_m_190,3447634,y,ETB,34.86,114.97, 1767783(51.3%),44661,30.92,39.726
ETB_m_191,2339047,y,ETB,32.52,102.82, 1252671(53.6%),33824,27.963,31.779
ETB_m_192,1294040,n,ETB,27.19,77.33, 678519(52.4%),20394,22.803,23.077
ETB_m_193,1289852,n,ETB,30.53,87.21, 679367(52.7%),18179,24.988,25.068
ETB_m_194,1472576,n,ETB,31.97,92.99, 795190(54.0%),20162,26.424,27.052
ETB_m_199,2165577,y,ETB,33.65,105.4, 1106314(51.1%),28907,28.848,31.259
ETB_m_200,2661036,y,ETB,35.11,112.4, 1370634(51.5%),34206,30.446,34.431
ETB_m_201,2335170,y,ETB,31.7,99.09, 1166820(50.0%),32452,26.866,29.952
ETB_m_202,3364649,y,ETB,35.45,113.06, 1723046(51.2%),42960,31.277,38.959
ETB_m_204,2017944,n,ETB,38.1,107.19, 998453(49.5%),20907,33.035,34.81
ETB_m_205,2054444,y,ETB,34.09,105.32, 1047208(51.0%),27034,29.22,31.385
FRN_f_M02,4128301,y,FRN,33.69,105.83, 2134077(51.7%),54829,29.481,40.192
FRN_f_M04,3691899,y,FRN,31.37,96.31, 1755740(47.6%),48567,27.733,35.733
FRN_m_M03,2576724,y,FRN,31.86,97.21, 1293688(50.2%),35161,27.522,31.662
FRN_m_M05,3167685,y,FRN,36.48,111.38, 1674427(52.9%),39936,31.771,38.72
FRN_m_M06,3345278,y,FRN,33.2,100.24, 1727404(51.6%),45341,28.629,36.366
FRN_m_M07,2992795,y,FRN,32.87,98.82, 1537909(51.4%),40761,28.375,34.759
MDC_f_134,1531260,n,MDC,73.68,173.21, 746189(48.7%),8002,59.865,56.462
MDC_f_135,3193961,y,MDC,55,187.99, 1402656(43.9%),22456,45.617,47.065
MDC_f_136,3182956,y,MDC,55.02,189.9, 1311574(41.2%),20954,45.947,47.251
MDC_f_138,3392174,y,MDC,55.54,190.24, 1392772(41.1%),22155,48.3,49.588
MDC_f_139,2894914,y,MDC,60.18,190.11, 1285166(44.4%),18784,49.816,50.346
MDC_f_142,2816815,y,MDC,55.25,184.98, 1217701(43.2%),19298,46.978,46.905
