BOLD Process ID	Sample ID	Country	Province/State	Regions	Exact Site	Latitude	Longitude	Elevation	Lineage assignment based on (Dinca et al. 2011)
EZROM504-08	RV-07-C964	Romania	Caras-Severin	Banat	Baile Herculane (Pecinisca)	44.871	22.414	NA	Palaeartic
EZRMN208-08	RVcoll.08-M630	Romania	Hunedoara	Transylvania	Scorota (Retezat Mts.)	45.299	22.894	NA	Palaeartic
EZROM501-08	RV-06-V653	Romania	Cluj	Transylvania	Faget forest, Ratu Penii	46.698	23.549	NA	Palaeartic
OXB992-15	15-A942	Italy	NA	NA	NA	44.931	10.366	NA	Palaeartic
OXB582-15	14-N971	Italy	NA	NA	NA	45.881	10.885	NA	Palaeartic
OXB364-15	RVcoll.14-N078	Italy	NA	NA	NA	45.31	11.696	310	Palaeartic
OXB339-15	RVcoll.14-N053	Italy	NA	NA	NA	46.153	8.333	NA	Palaeartic
GBGL0871-06	AY556994	Turkey	Isparta	Dedegol Gecidi (1700 M),Isparta	NA	NA	NA	NA	Palaeartic
GBGL0804-06	AY556927	Iran	Golestan	Hajiabad (2150 M),Golestan	NA	NA	NA	NA	Palaeartic
EZRMN209-08	RVcoll.08-M425	Romania	Constanta	Dobrogea	Gura Dobrogei reserve	44.466	28.48	NA	Palaeartic
LON231-08	NHMO-07020	Norway	Oslo	Oslo	Hovedoya	59.8933	10.7372	NA	Alicante-Provence, Sierra Nevada
EULEP162-14	RVcoll.11-I454	Spain	Andalusia	Granada	Road to Veleta (Sierra Nevada)	37.081	-3.378	NA	Alicante-Provence, Sierra Nevada
EZSPN665-09	RVcoll.08-J968	Spain	Andalusia	Granada	Acceso Veleta, Monachil	37.081	-3.378	NA	Alicante-Provence, Sierra Nevada
EULEP069-14	RVcoll.08-J962	Spain	Andalusia	Granada	Fuente Albergue de San Francisco, Gueejar Sierra	37.107	-3.392	NA	Alicante-Provence, Sierra Nevada
EULEP104-14	RVcoll.09-V446	Spain	Andalusia	Granada	San Juan (Sierra Nevada)	37.094	-3.115	NA	Alicante-Provence, Sierra Nevada
EULEP164-14	RVcoll.11-I458	Spain	Andalusia	Granada	Road to Veleta (Sierra Nevada)	37.081	-3.378	NA	Alicante-Provence, Sierra Nevada
LOWA002-06	2005-LOWA-2	Kazakhstan	NA	Oktyabrsky v.	NA	49.633	83.567	430	Alicante-Provence, Sierra Nevada
LOWA001-06	2005-LOWA-1	Kazakhstan	NA	Oktyabrsky v.	NA	49.633	83.567	4	Alicante-Provence, Sierra Nevada
LON634-09	NHMO-08152	Norway	Nord-Trondelag	Lierne	Flatmyran, Nordli	64.4808	13.6619	NA	Alicante-Provence, Sierra Nevada
FBLMT894-09	BC ZSM Lep 25454	Germany	Bavaria	Niederbayern	Wiesenfelden, Hoehenberg	49.0445	12.4973	652	Alicante-Provence, Sierra Nevada
EULEP160-14	RVcoll.11-E016	Spain	Comunidad Valenciana	Alicante	Font de l`Arbre, Serra d`Aitana	38.658	-0.31	NA	Alicante-Provence, Sierra Nevada
EZSPN772-09	RVcoll.08-L281	Spain	Comunidad Valenciana	Alicante	Los Collados - Benimaurell, Vall de Laguart	38.772	-0.146	NA	Alicante-Provence, Sierra Nevada
OXB544-15	OXB-TGS-919	United Kingdom	Scotland	NA	NA	56.71	-5.28	11	Alicante-Provence, Sierra Nevada
OXB418-15	OXB-TGS-100	United Kingdom	Scotland	NA	NA	57.657	-7.371	2	Alicante-Provence, Sierra Nevada
OXB553-15	OXB-TGS-928	United Kingdom	Scotland	NA	NA	56.42	-5.75	71	Alicante-Provence, Sierra Nevada
OXB423-15	OXB-TGS-105	United Kingdom	Scotland	NA	NA	57.727	-7.195	4	Alicante-Provence, Sierra Nevada
OXB422-15	OXB-TGS-104	United Kingdom	Scotland	NA	NA	57.727	-7.195	4	Alicante-Provence, Sierra Nevada
OXB421-15	OXB-TGS-103	United Kingdom	Scotland	NA	NA	57.727	-7.195	4	Alicante-Provence, Sierra Nevada
OXB420-15	OXB-TGS-102	United Kingdom	Scotland	NA	NA	57.727	-7.195	4	Alicante-Provence, Sierra Nevada
OXB419-15	OXB-TGS-101	United Kingdom	Scotland	NA	NA	57.727	-7.195	4	Alicante-Provence, Sierra Nevada
OXB398-15	OXB-TGS-062	United Kingdom	Scotland	NA	NA	57.306	-7.397	5	Alicante-Provence, Sierra Nevada
OXB397-15	OXB-TGS-061	United Kingdom	Scotland	NA	NA	57.306	-7.397	5	Alicante-Provence, Sierra Nevada
OXB396-15	OXB-TGS-035	United Kingdom	Scotland	NA	NA	57.217	-7.423	5	Alicante-Provence, Sierra Nevada
OXB390-15	OXB-TGS-020	United Kingdom	Scotland	NA	NA	56.392	-5.506	51	Alicante-Provence, Sierra Nevada
OXB388-15	OXB-TGS-018	United Kingdom	Scotland	NA	NA	56.392	-5.506	51	Alicante-Provence, Sierra Nevada
OXB551-15	OXB-TGS-926	United Kingdom	Scotland	NA	NA	56.42	-5.75	71	Alicante-Provence, Sierra Nevada
OXB552-15	OXB-TGS-927	United Kingdom	Scotland	NA	NA	56.42	-5.75	71	Alicante-Provence, Sierra Nevada
